AnoMês,Dt. Leitura,Instalação,Cód. PN,Parceiro de negócio,Número do CNPJ,Recebedor alternativo,Nº de contrato,Titular do contrato,Categoria tarifa,Desc. Categoria tarifa,Fase,"Tp Cli (BT,MT,AT)",Lote de Leitura,Dt. Vencimento,Classe,Desc. Classe,Município,Bairro,Rua,Nº,CEP,Energia Faturada Ponta,Receita Energia Faturada Ponta,Energia Faturada Fora Ponta,Receita Energia Faturada Fora Ponta,Demanda Faturada Ponta,Receita Demanda Faturada Ponta,Demanda Faturada Fora Ponta,Receita Demanda Faturada Fora Ponta,Demanda Registrada Ponta,Receita Demanda Registrada Ponta,Demanda Registrada F.Ponta,Receita Demanda Registrada F.Ponta,Demanda Contratada Ponta,Receita Demanda Contratada Ponta,Demanda Contratada F.Ponta,Receita Demanda Contratada F.Ponta,Demanda Ultrapassagem Ponta,Receita Demanda Ultrapassagem Ponta,Demanda Ultrapassagem Fora Ponta,Receita Demanda Ultrapassagem Fora Ponta,Importe UFER Ponta,Receita Importe UFER Ponta,Importe UFER Fora Ponta,Receita Importe UFER Fora Ponta,Importe UFDR,Receita Importe UFDR,Receita Total,Juros Atraso Pagamento,IGPM,Multa Atraso Pagamento,CIP,COFINS,PIS,ICMS,Parcelamentos,Cust. Disp. MMGD,Res. 77,Desconto AES,Energia Comp. MMGD,Receita Energia Comp. MMGD,Energia Injet. MMGD,"Imp. Ret, Fonte",TUS Geração,Créditos,OUTROS VALORES
202412,15/01/2025,143318,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,502407614,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"30,000","20,540",,,,,,,,,,,,,,,,,,,,,,,,,"26,260",,,,"5,300","0,550","0,120",,,,,,,,,"-0,250",,,"0,000"
202412,15/01/2025,143319,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,502407633,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"30,000","20,540",,,,,,,,,,,,,,,,,,,,,,,,,"26,260",,,,"5,300","0,550","0,120",,,,,,,,,"-0,250",,,"0,000"
202412,15/01/2025,143320,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,502407647,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"256,000","175,230",,,,,,,,,,,,,,,,,,,,,,,,,"202,780",,,,"24,010","4,690","1,020",,,,,,,,,"-2,170",,,"0,000"
202412,15/01/2025,143321,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,502407665,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"410,000","280,630",,,,,,,,,,,,,,,,,,,,,,,,,"315,800",,,,"29,530","7,500","1,620",,,,,,,,,"-3,480",,,"0,000"
202412,15/01/2025,143322,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,502404032,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"30,000","20,540",,,,,,,,,,,,,,,,,,,,,,,,,"26,260",,,,"5,300","0,550","0,120",,,,,,,,,"-0,250",,,"0,000"
202412,15/01/2025,143323,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,502407701,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"108,000","73,920",,,,,,,,,,,,,,,,,,,,,,,,,"90,540",,,,"15,130","1,980","0,430",,,,,,,,,"-0,920",,,"0,000"
202412,15/01/2025,143324,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,502407739,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"30,000","20,540",,,,,,,,,,,,,,,,,,,,,,,,,"26,260",,,,"5,300","0,550","0,120",,,,,,,,,"-0,250",,,"0,000"
202412,15/01/2025,143325,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,502407750,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"30,000","20,540",,,,,,,,,,,,,,,,,,,,,,,,,"26,260",,,,"5,300","0,550","0,120",,,,,,,,,"-0,250",,,"0,000"
202412,15/01/2025,143326,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,502407772,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"30,000","20,540",,,,,,,,,,,,,,,,,,,,,,,,,"20,960",,,,,"0,550","0,120",,,,,,,,,"-0,250",,,"0,000"
202412,31/01/2025,143505,152122100,"SECRETARIA DE ESTADO DA AGRICULTURA,",27080555000147,,401435051,SECRETARIA DE ESTADO,V4,"V4 Horo-sazonal Verde 2,3 - 25 KV",Trifásico,MT,44,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,FORTE SAO JOAO,RUA RAIMUNDO NONATO,111,29017-160,"638,632","1.097,240","12.065,000","4.736,940","75,000","2.387,250",,,"28,733","0,000","63,173","0,000","75,000","0,000",,,,,,,"2.570,274","773,550",,,,,"9.476,300",,,,"388,940","240,550","52,010",,,,,,,,,"-200,180",,,"0,000"
202412,16/01/2025,143542,152125100,POLICIA CIVIL,27470897000173,,401435426,,B3,Categoria Demais Classes B3,Trifásico,BT,40,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,JUCUTUQUARA,RUA LIZANDRO NICOLETTI,1SN,29042-150,"2.088,000","1.429,170",,,,,,,,,,,,,,,,,,,,,,,,,"1.491,380",,,,"33,450","38,210","8,260",,,,,,,,,"-17,710",,,"0,000"
202412,23/01/2025,143580,152120400,DEPARTAMENTO ESTADUAL DE TRANSITO DO ES,28162105000166,,502161322,,B3,Categoria Demais Classes B3,Trifásico,BT,45,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,BENTO FERREIRA,AV VITORIA,2SN,29050-760,"654,000","447,650",,,,,,,,,,,,,,,,,,,,,,,,,"490,110",,,,"33,450","11,970","2,590",,,,,,,,,"-5,550",,,"0,000"
202412,21/01/2025,143600,152127100,ES SEDU - ESPIRITO SANTO SECRETARIA DE,27080563000193,SEDU ENSINO FUNDAMENTAL,502081597,,B3REATEF,Baixa Reativa Eficiência,Trifásico,BT,43,10/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,MARUIPE,AV MARUIPE,1SN,29043-213,"1.863,000","1.275,170",,,,,,,,,,,,,,,,,,,,,,,,,"103,270",,,,"33,450","1,830","0,390",,,,,,-1.763 KWH,"-1.206,720",-1.763 KWH,"-0,850",,,"0,000"
202412,31/01/2025,143706,152125601,SECRETARIA DE ESTADO DA SEGURANCA PUBLI,27142025000186,,502087685,,V4,"V4 Horo-sazonal Verde 2,3 - 25 KV",Trifásico,MT,44,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,BENTO FERREIRA,AV MAL MASCARENHAS DE MORAES,2375,29050-625,"67,343","115,700","685,000","268,940","127,000","4.042,410",,,"1,328","0,000","3,395","0,000","127,000","0,000",,,,,,,"3.103,880","934,140",,,,,"5.464,470",,,,"145,600","143,370","31,000",,,,,,,,,"-216,690",,,"0,000"
202412,31/01/2025,143708,152125601,SECRETARIA DE ESTADO DA SEGURANCA PUBLI,27142025000186,,500797940,SESP-SEC ESTADO SEG,V4,"V4 Horo-sazonal Verde 2,3 - 25 KV",Trifásico,MT,46,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,BENTO FERREIRA,AV MAL MASCARENHAS DE MORAES,2355,29050-625,"5.678,880","9.756,940","69.815,000","27.410,090","250,000","7.957,500",,,"119,040","0,000","198,720","0,000","250,000","0,000",,,,,,,"0,000","0,000",,,,,"46.126,230",,,,"388,940","1.206,730","260,920",,,,,,,,,"-854,890",,,"0,000"
